Fri Oct 17 11:15:34 2025    profiling\profile.bin

         8254009 function calls (8246265 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.052    0.052 _generate_schema.py:1(<module>)
      265    0.003    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.051    0.051 _tokenizer.py:1(<module>)
        1    0.000    0.000    0.049    0.049 defmatrix.py:1(<module>)
        2    0.000    0.000    0.049    0.024 sysfont.py:390(SysFont)
      265    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.047    0.024 sysfont.py:342(initsysfonts)
        1    0.004    0.004    0.047    0.047 sysfont.py:55(initsysfonts_win32)
      286    0.026    0.000    0.045    0.000 visualization.py:280(scale_pos_array)
        1    0.000    0.000    0.044    0.044 _linalg.py:1(<module>)
        1    0.000    0.000    0.043    0.043 core_schema.py:1(<module>)
     8766    0.026    0.000    0.040    0.000 shape_base.py:80(atleast_2d)
        1    0.000    0.000    0.040    0.040 _loader.py:1(<module>)
        1    0.000    0.000    0.039    0.039 specifiers.py:1(<module>)
       77    0.001    0.000    0.035    0.000 _parser.py:970(parse)
   338/77    0.002    0.000    0.034    0.000 _parser.py:451(_parse_sub)
   498/81    0.013    0.000    0.034    0.000 _parser.py:511(_parse)
        1    0.000    0.000    0.033    0.033 client.py:1(<module>)
        1    0.000    0.000    0.033    0.033 __init__.py:639(_build_master)
        1    0.000    0.000    0.033    0.033 __init__.py:625(__init__)
        1    0.000    0.000    0.032    0.032 _model_construction.py:366(inspect_namespace)
      272    0.001    0.000    0.032    0.000 __init__.py:2392(distributions_from_metadata)
      424    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.031    0.015 utils.py:1(<module>)
        1    0.000    0.000    0.031    0.031 fields.py:1(<module>)
       51    0.000    0.000    0.031    0.001 dataclasses.py:1294(wrap)
  453/342    0.001    0.000    0.031    0.000 typing.py:426(inner)
       51    0.002    0.000    0.031    0.001 dataclasses.py:929(_process_class)
